"k" "s" "SR"
0.0025 0.005 0.500000008155972
0.005 0.005 0.500000016148309
0.0075 0.005 0.500000023978217
0.01 0.005 0.500000031646907
0.0125 0.005 0.500000039155596
0.015 0.005 0.500000046505511
0.0175 0.005 0.50000005369788
0.02 0.005 0.50000006073394
0.0225 0.005 0.500000067614933
0.025 0.005 0.500000074342107
0.0275 0.005 0.500000080916715
0.03 0.005 0.500000087340016
0.0325 0.005 0.500000093613275
0.035 0.005 0.500000099737762
0.0375 0.005 0.500000105714752
0.04 0.005 0.500000111545524
0.0425 0.005 0.500000117231366
0.045 0.005 0.500000122773566
0.0475 0.005 0.50000012817342
0.05 0.005 0.500000133432228
0.0525 0.005 0.500000138551294
0.055 0.005 0.500000143531927
0.0575 0.005 0.500000148375441
0.06 0.005 0.500000153083152
0.0625 0.005 0.500000157656382
0.065 0.005 0.500000162096458
0.0675 0.005 0.500000166404708
0.07 0.005 0.500000170582465
0.0725 0.005 0.500000174631067
0.075 0.005 0.500000178551853
0.0775 0.005 0.500000182346168
0.08 0.005 0.500000186015358
0.0825 0.005 0.500000189560774
0.085 0.005 0.500000192983767
0.0875 0.005 0.500000196285694
0.09 0.005 0.500000199467914
0.0925 0.005 0.500000202531786
0.095 0.005 0.500000205478675
0.0975 0.005 0.500000208309946
0.1 0.005 0.500000211026966
0.1025 0.005 0.500000213631106
0.105 0.005 0.500000216123736
0.1075 0.005 0.500000218506231
0.11 0.005 0.500000220779963
0.1125 0.005 0.50000022294631
0.115 0.005 0.500000225006649
0.1175 0.005 0.500000226962358
0.12 0.005 0.500000228814816
0.1225 0.005 0.500000230565402
0.125 0.005 0.500000232215498
0.1275 0.005 0.500000233766484
0.13 0.005 0.500000235219741
0.1325 0.005 0.500000236576651
0.135 0.005 0.500000237838595
0.1375 0.005 0.500000239006954
0.14 0.005 0.500000240083107
0.1425 0.005 0.500000241068437
0.145 0.005 0.50000024196432
0.1475 0.005 0.500000242772137
0.15 0.005 0.500000243493264
0.1525 0.005 0.500000244129078
0.155 0.005 0.500000244680952
0.1575 0.005 0.500000245150261
0.16 0.005 0.500000245538375
0.1625 0.005 0.500000245846665
0.165 0.005 0.500000246076496
0.1675 0.005 0.500000246229235
0.17 0.005 0.500000246306244
0.1725 0.005 0.500000246308883
0.175 0.005 0.500000246238509
0.1775 0.005 0.500000246096477
0.18 0.005 0.500000245884137
0.1825 0.005 0.500000245602837
0.185 0.005 0.500000245253921
0.1875 0.005 0.50000024483873
0.19 0.005 0.500000244358601
0.1925 0.005 0.500000243814865
0.195 0.005 0.500000243208851
0.1975 0.005 0.500000242541884
0.2 0.005 0.500000241815281
0.2025 0.005 0.500000241030359
0.205 0.005 0.500000240188425
0.2075 0.005 0.500000239290786
0.21 0.005 0.500000238338739
0.2125 0.005 0.500000237333577
0.215 0.005 0.50000023627659
0.2175 0.005 0.500000235169059
0.22 0.005 0.500000234012259
0.2225 0.005 0.50000023280746
0.225 0.005 0.500000231555927
0.2275 0.005 0.500000230258913
0.23 0.005 0.500000228917671
0.2325 0.005 0.500000227533443
0.235 0.005 0.500000226107464
0.2375 0.005 0.500000224640962
0.24 0.005 0.50000022313516
0.2425 0.005 0.500000221591269
0.245 0.005 0.500000220010495
0.2475 0.005 0.500000218394036
0.25 0.005 0.500000216743081
0.2525 0.005 0.500000215058809
0.255 0.005 0.500000213342395
0.2575 0.005 0.500000211595001
0.26 0.005 0.500000209817781
0.2625 0.005 0.500000208011881
0.265 0.005 0.500000206178438
0.2675 0.005 0.500000204318579
0.27 0.005 0.50000020243342
0.2725 0.005 0.500000200524069
0.275 0.005 0.500000198591625
0.2775 0.005 0.500000196637174
0.28 0.005 0.500000194661795
0.2825 0.005 0.500000192666555
0.285 0.005 0.500000190652509
0.2875 0.005 0.500000188620705
0.29 0.005 0.500000186572177
0.2925 0.005 0.50000018450795
0.295 0.005 0.500000182429036
0.2975 0.005 0.500000180336438
0.3 0.005 0.500000178231145
0.3025 0.005 0.500000176114137
0.305 0.005 0.500000173986381
0.3075 0.005 0.500000171848832
0.31 0.005 0.500000169702435
0.3125 0.005 0.500000167548119
0.315 0.005 0.500000165386804
0.3175 0.005 0.500000163219398
0.32 0.005 0.500000161046794
0.3225 0.005 0.500000158869875
0.325 0.005 0.50000015668951
0.3275 0.005 0.500000154506554
0.33 0.005 0.500000152321851
0.3325 0.005 0.500000150136232
0.335 0.005 0.500000147950515
0.3375 0.005 0.500000145765503
0.34 0.005 0.500000143581986
0.3425 0.005 0.500000141400743
0.345 0.005 0.500000139222536
0.3475 0.005 0.500000137048118
0.35 0.005 0.500000134878223
0.3525 0.005 0.500000132713576
0.355 0.005 0.500000130554884
0.3575 0.005 0.500000128402843
0.36 0.005 0.500000126258135
0.3625 0.005 0.500000124121426
0.365 0.005 0.50000012199337
0.3675 0.005 0.500000119874604
0.37 0.005 0.500000117765755
0.3725 0.005 0.500000115667433
0.375 0.005 0.500000113580232
0.3775 0.005 0.500000111504736
0.38 0.005 0.500000109441513
0.3825 0.005 0.500000107391113
0.385 0.005 0.500000105354078
0.3875 0.005 0.50000010333093
0.39 0.005 0.500000101322179
0.3925 0.005 0.500000099328321
0.395 0.005 0.500000097349835
0.3975 0.005 0.500000095387189
0.4 0.005 0.500000093440834
0.4025 0.005 0.500000091511206
0.405 0.005 0.500000089598729
0.4075 0.005 0.500000087703812
0.41 0.005 0.500000085826846
0.4125 0.005 0.500000083968212
0.415 0.005 0.500000082128275
0.4175 0.005 0.500000080307384
0.42 0.005 0.500000078505876
0.4225 0.005 0.500000076724073
0.425 0.005 0.500000074962281
0.4275 0.005 0.500000073220795
0.43 0.005 0.500000071499893
0.4325 0.005 0.50000006979984
0.435 0.005 0.500000068120887
0.4375 0.005 0.500000066463271
0.44 0.005 0.500000064827214
0.4425 0.005 0.500000063212927
0.445 0.005 0.500000061620603
0.4475 0.005 0.500000060050426
0.45 0.005 0.500000058502563
0.4525 0.005 0.500000056977168
0.455 0.005 0.500000055474382
0.4575 0.005 0.500000053994335
0.46 0.005 0.50000005253714
0.4625 0.005 0.5000000511029
0.465 0.005 0.500000049691703
0.4675 0.005 0.500000048303625
0.47 0.005 0.500000046938729
0.4725 0.005 0.500000045597067
0.475 0.005 0.500000044278676
0.4775 0.005 0.500000042983582
0.48 0.005 0.5000000417118
0.4825 0.005 0.500000040463332
0.485 0.005 0.500000039238167
0.4875 0.005 0.500000038036284
0.49 0.005 0.50000003685765
0.4925 0.005 0.50000003570222
0.495 0.005 0.50000003456994
0.4975 0.005 0.500000033460743
0.5 0.005 0.50000003237455
0.0025 0.01 0.500000008155906
0.005 0.01 0.500000016148361
0.0075 0.01 0.500000023979089
0.01 0.01 0.500000031649812
0.0125 0.01 0.500000039162244
0.015 0.01 0.500000046518096
0.0175 0.01 0.500000053719076
0.02 0.01 0.500000060766883
0.0225 0.01 0.500000067663214
0.025 0.01 0.50000007440976
0.0275 0.01 0.500000081008206
0.03 0.01 0.500000087460232
0.0325 0.01 0.500000093767511
0.035 0.01 0.500000099931711
0.0375 0.01 0.500000105954494
0.04 0.01 0.500000111837516
0.0425 0.01 0.500000117582426
0.045 0.01 0.500000123190866
0.0475 0.01 0.500000128664473
0.05 0.01 0.500000134004875
0.0525 0.01 0.500000139213695
0.055 0.01 0.500000144292547
0.0575 0.01 0.50000014924304
0.06 0.01 0.500000154066774
0.0625 0.01 0.500000158765341
0.065 0.01 0.500000163340326
0.0675 0.01 0.500000167793307
0.07 0.01 0.500000172125853
0.0725 0.01 0.500000176339526
0.075 0.01 0.500000180435876
0.0775 0.01 0.500000184416451
0.08 0.01 0.500000188282785
0.0825 0.01 0.500000192036405
0.085 0.01 0.50000019567883
0.0875 0.01 0.500000199211571
0.09 0.01 0.500000202636127
0.0925 0.01 0.500000205953989
0.095 0.01 0.500000209166641
0.0975 0.01 0.500000212275554
0.1 0.01 0.500000215282193
0.1025 0.01 0.50000021818801
0.105 0.01 0.50000022099445
0.1075 0.01 0.500000223702946
0.11 0.01 0.500000226314923
0.1125 0.01 0.500000228831795
0.115 0.01 0.500000231254965
0.1175 0.01 0.500000233585828
0.12 0.01 0.500000235825765
0.1225 0.01 0.500000237976151
0.125 0.01 0.500000240038346
0.1275 0.01 0.500000242013703
0.13 0.01 0.500000243903562
0.1325 0.01 0.500000245709253
0.135 0.01 0.500000247432095
0.1375 0.01 0.500000249073396
0.14 0.01 0.500000250634453
0.1425 0.01 0.500000252116551
0.145 0.01 0.500000253520964
0.1475 0.01 0.500000254848957
0.15 0.01 0.50000025610178
0.1525 0.01 0.500000257280674
0.155 0.01 0.500000258386868
0.1575 0.01 0.500000259421578
0.16 0.01 0.500000260386012
0.1625 0.01 0.500000261281362
0.165 0.01 0.500000262108811
0.1675 0.01 0.500000262869528
0.17 0.01 0.500000263564674
0.1725 0.01 0.500000264195395
0.175 0.01 0.500000264762826
0.1775 0.01 0.500000265268089
0.18 0.01 0.500000265712296
0.1825 0.01 0.500000266096546
0.185 0.01 0.500000266421927
0.1875 0.01 0.500000266689513
0.19 0.01 0.500000266900368
0.1925 0.01 0.500000267055542
0.195 0.01 0.500000267156075
0.1975 0.01 0.500000267202995
0.2 0.01 0.500000267197315
0.2025 0.01 0.500000267140039
0.205 0.01 0.500000267032158
0.2075 0.01 0.500000266874651
0.21 0.01 0.500000266668485
0.2125 0.01 0.500000266414615
0.215 0.01 0.500000266113983
0.2175 0.01 0.500000265767522
0.22 0.01 0.50000026537615
0.2225 0.01 0.500000264940776
0.225 0.01 0.500000264462293
0.2275 0.01 0.500000263941586
0.23 0.01 0.500000263379528
0.2325 0.01 0.500000262776977
0.235 0.01 0.500000262134785
0.2375 0.01 0.500000261453786
0.24 0.01 0.500000260734808
0.2425 0.01 0.500000259978664
0.245 0.01 0.500000259186157
0.2475 0.01 0.500000258358079
0.25 0.01 0.50000025749521
0.2525 0.01 0.50000025659832
0.255 0.01 0.500000255668165
0.2575 0.01 0.500000254705495
0.26 0.01 0.500000253711044
0.2625 0.01 0.500000252685538
0.265 0.01 0.500000251629693
0.2675 0.01 0.500000250544212
0.27 0.01 0.500000249429789
0.2725 0.01 0.500000248287108
0.275 0.01 0.500000247116841
0.2775 0.01 0.500000245919652
0.28 0.01 0.500000244696194
0.2825 0.01 0.50000024344711
0.285 0.01 0.500000242173033
0.2875 0.01 0.500000240874586
0.29 0.01 0.500000239552385
0.2925 0.01 0.500000238207033
0.295 0.01 0.500000236839127
0.2975 0.01 0.500000235449253
0.3 0.01 0.500000234037987
0.3025 0.01 0.5000002326059
0.305 0.01 0.500000231153551
0.3075 0.01 0.500000229681492
0.31 0.01 0.500000228190266
0.3125 0.01 0.500000226680407
0.315 0.01 0.500000225152444
0.3175 0.01 0.500000223606894
0.32 0.01 0.50000022204427
0.3225 0.01 0.500000220465075
0.325 0.01 0.500000218869806
0.3275 0.01 0.500000217258951
0.33 0.01 0.500000215632994
0.3325 0.01 0.500000213992409
0.335 0.01 0.500000212337665
0.3375 0.01 0.500000210669224
0.34 0.01 0.500000208987541
0.3425 0.01 0.500000207293067
0.345 0.01 0.500000205586245
0.3475 0.01 0.500000203867512
0.35 0.01 0.500000202137301
0.3525 0.01 0.500000200396038
0.355 0.01 0.500000198644144
0.3575 0.01 0.500000196882035
0.36 0.01 0.500000195110122
0.3625 0.01 0.500000193328813
0.365 0.01 0.500000191538508
0.3675 0.01 0.500000189739605
0.37 0.01 0.500000187932497
