"G" "A1D1X" "A2D1X" "A1D1Y" "A2D1Y" "A1D2X" "A2D2X" "A1D2Y" "A2D2Y"
1 0.202488708967938 0.297129561873838 0.202599489211252 0.297245333214174 4.49146759696473e-05 8.93120072299688e-05 0.000134744027908942 0.000267936021689907
2 0.202532015967944 0.297162107923986 0.202616697457905 0.297248054605508 2.98572822692452e-05 8.04237288949006e-05 8.95718468077357e-05 0.000241271186684702
3 0.202542166812992 0.297161167267198 0.202619028508861 0.297246381308796 2.50579252744267e-05 8.27561002637938e-05 7.51737758232802e-05 0.000248268300791381
4 0.202542899317942 0.297153746086066 0.202619185858566 0.29723960761918 2.31281998826623e-05 8.80120796784565e-05 6.9384599647987e-05 0.00026403623903537
5 0.202541795619272 0.297143112889644 0.202619628387273 0.297230227404801 2.20179855648157e-05 9.42909391877291e-05 6.6053956694447e-05 0.000282872817563187
6 0.20254000344925 0.297130875509977 0.202620160124294 0.297219623820635 2.11576172335503e-05 0.000101176656727559 6.34728517006508e-05 0.000303529970182678
7 0.202537788141639 0.297117426615347 0.202620700965589 0.297208132594783 2.03882873797871e-05 0.000108599633280269 6.11648621393613e-05 0.000325798899840808
8 0.202535207360063 0.297102815039161 0.202621229313002 0.297195796918562 1.96652380610022e-05 0.000116572604241756 5.89957141830067e-05 0.000349717812725269
9 0.20253226322721 0.297086995282126 0.202621740228721 0.297182581718075 1.897539381868e-05 0.000125129492148144 5.69261814560401e-05 0.000375388476444431
10 0.202528941833923 0.297069892827126 0.202622233271716 0.297168428596305 1.83145035048472e-05 0.000134311364227463 5.49435105145417e-05 0.000402934092682389
11 0.20252522369635 0.297051420945957 0.202622709173851 0.297153269674539 1.76807965494198e-05 0.000144163330776343 5.30423896482594e-05 0.000432489992329028
12 0.202521086489289 0.297031484802041 0.202623168941366 0.297137030907669 1.70732221107766e-05 0.000154733992798029 5.12196663323298e-05 0.000464201978394086
13 0.202516505704456 0.297009982193288 0.202623613616993 0.297119632676248 1.64909600112928e-05 0.000166075492242274 4.94728800338785e-05 0.000498226476726821
14 0.202511454743614 0.296986803384583 0.202624044221826 0.2971009896563 1.59332846364829e-05 0.000178243713782738 4.77998539094488e-05 0.000534731141348214
15 0.202505904852245 0.29696183067508 0.202624461745848 0.297081010482944 1.53995268373732e-05 0.00019129853413341 4.61985805121197e-05 0.00057389560240023
16 0.20249982500308 0.296934937870263 0.202624867151373 0.297059597341106 1.48890630912731e-05 0.000205304095453274 4.46671892738193e-05 0.000615912286359821
