"k" "s" "DF"
0.0025 0.0025 3.94188849429772e-05
0.0025 0.005 4.68165434004715e-05
0.0025 0.0075 4.95218759246809e-05
0.0025 0.01 5.05346961319576e-05
0.0025 0.0125 5.10093872788363e-05
0.0025 0.015 5.13178712835462e-05
0.0025 0.0175 5.15756131118211e-05
0.0025 0.02 5.18183903251091e-05
0.0025 0.0225 5.20575043930757e-05
0.0025 0.025 5.22967003985832e-05
0.0025 0.0275 5.25373464574438e-05
0.0025 0.03 5.2780034312785e-05
0.0025 0.0325 5.30250842713099e-05
0.0025 0.035 5.3272710582905e-05
0.0025 0.0375 5.35230792370421e-05
0.0025 0.04 5.37763303623144e-05
0.0025 0.0425 5.40325882255205e-05
0.0025 0.045 5.42919664429953e-05
0.0025 0.0475 5.4554571085249e-05
0.0025 0.05 5.48205027114021e-05
0.0025 0.0525 5.50898577866213e-05
0.0025 0.055 5.53627297093426e-05
0.0025 0.0575 5.56392095760772e-05
0.0025 0.06 5.5919386762755e-05
0.0025 0.0625 5.62033493740976e-05
0.0025 0.065 5.64911845964018e-05
0.0025 0.0675 5.678297897824e-05
0.0025 0.07 5.70788186568079e-05
0.0025 0.0725 5.73787895425738e-05
0.0025 0.075 5.76829774717364e-05
0.0025 0.0775 5.79914683333696e-05
0.0025 0.08 5.83043481765911e-05
0.0025 0.0825 5.86217033016217e-05
0.0025 0.085 5.89436203378298e-05
0.0025 0.0875 5.92701863110889e-05
0.0025 0.09 5.96014887021976e-05
0.0025 0.0925 5.99376154977656e-05
0.0025 0.095 6.02786552346525e-05
0.0025 0.0975 6.06246970388127e-05
0.0025 0.1 6.09758306591254e-05
0.0025 0.1025 6.13321464967611e-05
0.0025 0.105 6.16937356304116e-05
0.0025 0.1075 6.20606898377093e-05
0.0025 0.11 6.2433101612932e-05
0.0025 0.1125 6.28110641812226e-05
0.0025 0.115 6.31946715092925e-05
0.0025 0.1175 6.35840183126913e-05
0.0025 0.12 6.39792000595694e-05
0.0025 0.1225 6.43803129708643e-05
0.0025 0.125 6.47874540168428e-05
0.0025 0.1275 6.52007209098246e-05
0.0025 0.13 6.56202120929293e-05
0.0025 0.1325 6.6046026724624e-05
0.0025 0.135 6.64782646589189e-05
0.0025 0.1375 6.69170264208274e-05
0.0025 0.14 6.73624131769228e-05
0.0025 0.1425 6.78145267005722e-05
0.0025 0.145 6.82734693316025e-05
0.0025 0.1475 6.87393439298965e-05
0.0025 0.15 6.92122538226144e-05
0.0025 0.1525 6.96923027444872e-05
0.0025 0.155 7.01795947708014e-05
0.0025 0.1575 7.06742342424604e-05
0.0025 0.16 7.11763256825864e-05
0.0025 0.1625 7.16859737040718e-05
0.0025 0.165 7.220328290741e-05
0.0025 0.1675 7.2728357768076e-05
0.0025 0.17 7.32613025127404e-05
0.0025 0.1725 7.38022209834861e-05
0.0025 0.175 7.4351216489175e-05
0.0025 0.1775 7.49083916430057e-05
0.0025 0.18 7.54738481853003e-05
0.0025 0.1825 7.60476867904272e-05
0.0025 0.185 7.66300068567791e-05
0.0025 0.1875 7.72209062784941e-05
0.0025 0.19 7.78204811977333e-05
0.0025 0.1925 7.84288257360563e-05
0.0025 0.195 7.90460317034811e-05
0.0025 0.1975 7.96721882835596e-05
0.0025 0.2 8.0307381692934e-05
0.0025 0.2025 8.09516948134805e-05
0.0025 0.205 8.16052067952282e-05
0.0025 0.2075 8.22679926279667e-05
0.0025 0.21 8.29401226795054e-05
0.0025 0.2125 8.36216621982521e-05
0.0025 0.215 8.4312670777758e-05
0.0025 0.2175 8.50132017806986e-05
0.0025 0.22 8.57233017195719e-05
0.0025 0.2225 8.64430095914291e-05
0.0025 0.225 8.7172356163478e-05
0.0025 0.2275 8.79113632066361e-05
0.0025 0.23 8.86600426735926e-05
0.0025 0.2325 8.94183958181463e-05
0.0025 0.235 9.01864122520197e-05
0.0025 0.2375 9.09640689356303e-05
0.0025 0.24 9.17513290987929e-05
0.0025 0.2425 9.25481410874852e-05
0.0025 0.245 9.33544371323851e-05
0.0025 0.2475 9.41701320351087e-05
0.0025 0.25 9.49951217676442e-05
0.0025 0.2525 9.58292819807392e-05
0.0025 0.255 9.66724664166506e-05
0.0025 0.2575 9.75245052218345e-05
0.0025 0.26 9.83852031552851e-05
0.0025 0.2625 9.92543376879507e-05
0.0025 0.265 0.000100131656989273
0.0025 0.2675 0.000101016877796684
0.0025 0.27 0.000101909683164586
0.0025 0.2725 0.000102809720089293
0.0025 0.275 0.000103716597007412
0.0025 0.2775 0.000104629881165314
0.0025 0.28 0.000105549095858535
0.0025 0.2825 0.000106473717540475
0.0025 0.285 0.000107403172801345
0.0025 0.2875 0.000108336835219232
0.0025 0.29 0.000109274022087087
0.0025 0.2925 0.000110213991021057
0.0025 0.295 0.000111155936457795
0.0025 0.2975 0.000112098986050921
0.0025 0.3 0.000113042196979497
0.0025 0.3025 0.000113984552184639
0.0025 0.305 0.000114924956554001
0.0025 0.3075 0.000115862233077914
0.0025 0.31 0.000116795119005407
0.0025 0.3125 0.000117722262033441
0.0025 0.315 0.000118642216567967
0.0025 0.3175 0.000119553440101665
0.0025 0.32 0.000120454289759389
