"G" "X" "Y" "O" "A" "D"
1 0.499941728871145 0.5 5.82711288546731e-05 0.58342772428485 0.000116542257709346
2 0.499949009163458 0.499937902888105 0.000113097657567643 0.581070997532024 9.93858873412775e-05
3 0.4999466255862 0.499882458966599 0.000170939513749455 0.581194119926541 9.97446852320438e-05
4 0.499942307394714 0.49982385082631 0.000233882698303045 0.581186016496602 0.000103850858848315
5 0.499937279067959 0.499760137862308 0.000302643113041774 0.581184928377245 0.000108929668460353
6 0.499931800622048 0.499690581983518 0.00037769874237568 0.581183610765362 0.000114420186956179
7 0.49992590984072 0.499614685231395 0.000459509768773882 0.581182475773192 0.000120218120356996
8 0.499919595994031 0.499531975031689 0.00054855957051226 0.581181502132645 0.000126313352852465
9 0.499912835919853 0.499441960245157 0.000645362564784281 0.58118068871672 0.000132715629779733
10 0.499905602161484 0.499344120728665 0.000750466495267644 0.581180033607519 0.000139439329327974
11 0.49989786483414 0.499237903758751 0.00086445413468753 0.581179535605207 0.000146500370938969
12 0.499889592040335 0.499122721768127 0.000987945129129883 0.581179194108519 0.0001539156137614
13 0.499880749917678 0.498997950272374 0.00112159802175375 0.581179009064372 0.00016170276550509
14 0.499871302581888 0.498862925757353 0.0012661124216705 0.581178980938685 0.000169880396000518
15 0.499861212034531 0.498716943479167 0.00142223129619437 0.581179110702969 0.00017846797270828
16 0.499850438055754 0.498559255164956 0.00159074337762104 0.581179399828669 0.000187485901522973
17 0.49983893808852 0.498389066610253 0.00177248568217658 0.581179850285299 0.000196955569653918
18 0.499826667116503 0.498205535170421 0.00196834614135835 0.581180464540545 0.000206899390042884
19 0.499813577536407 0.498007767144401 0.00217926634663992 0.58118124556155 0.000217340847279496
20 0.499799619024954 0.497794815049575 0.00240624440845671 0.581182196816956 0.000228304545047177
21 0.499784738400648 0.497565674787155 0.00265033792995962 0.581183322279502 0.00023981625512697
22 0.499768879480345 0.497319282698176 0.00291266709538752 0.581184626428967 0.0002519029679707
23 0.499751982930699 0.49705451251098 0.00319441787212121 0.581186114255317 0.000264592944839575
24 0.499733986114584 0.496770172181953 0.00349684532455415 0.581187791261887 0.000277915771490135
25 0.499714822932622 0.496465000632309 0.00382127703684251 0.581189663468401 0.000291902413375593
26 0.499694423659995 0.49613766438491 0.00416911664036703 0.581191737413643 0.000306585272316269
27 0.499672714778818 0.49578675410642 0.00454184744033579 0.581194020157538 0.000321998244577449
28 0.499649618806374 0.495410781061653 0.00494103613436314 0.581196519282409 0.000338176780276279
29 0.499625054119624 0.495008173488662 0.00536833661405736 0.581199242893118 0.000355157944020855
30 0.499598934776473 0.494577272905085 0.00582549383861935 0.581202199615782 0.000372980476664369
31 0.499571170334392 0.49411633035843 0.00631434776717614 0.581205398594709 0.000391684858034762
