"G" "X" "Y" "A" "D" "O"
1 0.499752497524975 0.5 0.00024750247502475 0.594732143116931 0.000536906732798465
2 0.499804470005234 0.499754181106869 0.00044134888789683 0.594731857540156 0.00044097722032634
3 0.49981128826089 0.499562840757108 0.000625870370139906 0.594738563402671 0.000430928070334392
4 0.499808008429289 0.499381219134117 0.000810771803321548 0.594745371990766 0.000444027531493774
5 0.499801531927908 0.499198858253834 0.000999609170945257 0.594750445302628 0.000464469487779323
6 0.499793630205314 0.499012254430958 0.00119411467391835 0.594755111865797 0.000488307935729974
7 0.49978473408894 0.498819828530702 0.00139543662208561 0.594759822247871 0.000514626312607682
8 0.499774919266116 0.498620548957099 0.00160453092704256 0.594764719404495 0.000543293411037161
9 0.499764164545336 0.498413533546538 0.00182230094502368 0.594769858158032 0.000574389091872264
10 0.49975241982059 0.498197924326772 0.00204965475392437 0.594775269417821 0.00060805662577165
11 0.49973962389769 0.49797284273152 0.00228753211275475 0.594780978474778 0.000644464906205209
12 0.499725709019572 0.497737370419942 0.00253691911706951 0.594787010229115 0.000683799193098766
13 0.499710601833612 0.497490538994767 0.00279885751364243 0.594793390731687 0.000726259343971591
14 0.499694223391644 0.497231323058489 0.00307445164428189 0.594800147693096 0.000772060052562023
15 0.499676488874081 0.49695863455488 0.00336487438019388 0.594807310708905 0.00082143166110314
16 0.499657307222542 0.49667131755605 0.00367137270224545 0.594814911411597 0.000874621171301412
17 0.499636580729523 0.496368143119785 0.00399527325387468 0.594822983608555 0.000931893357728347
18 0.499614204597157 0.496047804037015 0.00433798803476731 0.594831563422867 0.000993531960948691
19 0.499590066467275 0.495708909377433 0.00470102032504938 0.594840689441797 0.00105984095716716
20 0.499564045922386 0.49534997878336 0.00508597089029423 0.594850402874463 0.00113114590628014
21 0.499536013956508 0.494969436482965 0.00549454449729235 0.594860747719264 0.00120779538150749
22 0.499505832414642 0.4945656050051 0.00592855675955295 0.594871770941382 0.00129016248404232
23 0.499473353399674 0.494136698584423 0.00638994132503537 0.594883522660527 0.00137864644612477
24 0.499438418645559 0.493680816249921 0.00688075741418991 0.594896056349119 0.00147367432580351
25 0.499400858855717 0.493195934593412 0.00740319771274845 0.594909429040975 0.00157570279643364
26 0.499360493005705 0.492679900218093 0.00795959662017078 0.594923701550578 0.00168522003367288
27 0.499317127609344 0.492130421870825 0.00855243885083747 0.594938938702907 0.0018027477023679
28 0.499270555947712 0.491545062266004 0.00918436838074578 0.594955209573716 0.00192884304525581
29 0.499220557260599 0.490921229613673 0.00985819772743864 0.594972587740069 0.00206410107482711
30 0.499166895900333 0.490256168870095 0.0105769175450379 0.594991151540787 0.00220915686898711
31 0.499109320448196 0.489546952735503 0.0113437065094304 0.595010984346335 0.00236468797029605
