"G" "A1D1X" "A2D1X" "A1D1Y" "A2D1Y" "A1D1O" "A2D1O" "A1D2X" "A2D2X" "A1D2Y" "A2D2Y" "A1D2O" "A2D2O"
1 0.213767889815148 0.285524692390378 0.213838574989851 0.285595660588804 7.06851747028251e-05 7.09681984253589e-05 7.07559306334585e-08 0.000282811454741934 1.41511861266917e-07 0.000565622909483868 7.07559306334585e-08 0.000282811454741934
2 0.217381073604511 0.281979364217621 0.217337004309968 0.281919356219669 0.000186117943568433 0.000155251820086857 1.18456730885359e-07 0.000260339514412769 1.57994972838092e-07 0.000347235097582887 1.97375219817986e-07 0.000433783445655421
3 0.221827276360282 0.277507502542638 0.221651983730189 0.277337575313463 0.000321807351993964 0.000271942224889236 1.75231140469567e-07 0.000270302887996029 1.88295524180941e-07 0.000272846215048543 3.37397897227761e-07 0.000538057023285299
4 0.226323593839182 0.272963787376708 0.226004825210702 0.272661498592905 0.000476626063617808 0.000409587952474983 2.40897111889878e-07 0.00028977934399106 2.3773104241465e-07 0.000245871799341865 4.84960293254985e-07 0.000623460687915794
5 0.230833539429026 0.268396628051154 0.230354744055182 0.26794637106745 0.000650908373655783 0.000562613375656393 3.13725134650524e-07 0.000313485186834487 3.00744426527036e-07 0.000238562985608808 6.40430977424535e-07 0.000701887055718486
6 0.23534825631797 0.263817163597891 0.234690827781552 0.263206690660905 0.000845841858088391 0.000728155464114925 3.93251896772052e-07 0.000340372827972977 3.74230051393369e-07 0.000241527694452361 8.05525638922786e-07 0.000779585052964401
7 0.239859722410163 0.259233313012764 0.239003212747243 0.258451982537007 0.00106322561526247 0.000904774626513161 4.79815692236007e-07 0.00037046244706985 4.5699352570776e-07 0.000250942837678376 9.82453551000262e-07 0.00086043831337658
8 0.244359868186993 0.254652375835679 0.243281740825342 0.253690198321716 0.00130533366042466 0.00109190034260632 5.74139855237446e-07 0.000404071566954385 5.48758496144217e-07 0.000265008151952076 1.17366106956812e-06 0.000947199689498348
9 0.248840700638695 0.25008131300733 0.247515997657539 0.24892835344788 0.0015748554950799 0.00128954204615964 6.77159281623387e-07 0.000441632267547113 6.49732421161869e-07 0.000282829521913065 1.38174542370829e-06 0.00104205953961285
10 0.253294392070968 0.245526741831817 0.251695379516667 0.24417270889509 0.00187488627538262 0.00149812024725943 7.89968804967676e-07 0.000483652821898981 7.60447895539029e-07 0.000303996300931668 1.609458519364e-06 0.00114695331588702
11 0.257713338132098 0.240994881890223 0.25580912746058 0.239428824059555 0.00220894732949889 0.00171836466067391 9.1381905273768e-07 0.000530715297790091 8.81700044337566e-07 0.000328388235135249 1.85975711387547e-06 0.00126374744722367
12 0.26209019945443 0.236491495866256 0.259846333242781 0.234701559832102 0.00258102607629817 0.00195125382838083 1.0501300097963e-06 0.000583482794928083 1.01451732682502e-06 0.000356074933343964 2.13587270256389e-06 0.00139436158151595
13 0.266417930605911 0.232021835418887 0.263795921220286 0.229995059267316 0.00299562976862417 0.00219798144703765 1.20051217549769e-06 0.000642710055808904 1.16014804148687e-06 0.00038726023921852 2.44138848500618e-06 0.00154085604527401
14 0.270689796907033 0.227590594568908 0.267646608230158 0.225312718237838 0.00345785050520476 0.00245994009714221 1.36679231318655e-06 0.000709256071115844 1.32005747203219e-06 0.000422251309423172 2.78031946752745e-06 0.0017055005796412
15 0.274899379081584 0.223201871032326 0.271386842169148 0.220657152664338 0.00397344055861303 0.00273871637418213 1.5510431452288e-06 0.000784098486806827 1.49593343754192e-06 0.000461442280017633 3.15719599814448e-06 0.00189083389209111
16 0.279040565763465 0.218859135240455 0.275004719482256 0.216030166004236 0.00454889788344562 0.00303609351787332 1.75561709571193e-06 0.000868349909971553 1.68969859355446e-06 0.000505306897594238 3.57715269358132e-06 0.00209971993846396
17 0.283107534060029 0.214565206453362 0.278487881620255 0.211432718990573 0.00519156205050239 0.00335405896183216 1.98318442138597e-06 0.000963276281440278 1.90352808164347e-06 0.000554396810080353 4.04602518251444e-06 0.0023354047441933
