"kD" "kA" "DF"
0.0025 0.0025 9.27320826155064e-08
0.005 0.0025 9.1733698420104e-08
0.0075 0.0025 9.07409986222596e-08
0.01 0.0025 8.97539970454384e-08
0.0125 0.0025 8.87727072527975e-08
0.015 0.0025 8.77971425439292e-08
0.0175 0.0025 8.68273159515858e-08
0.02 0.0025 8.58632402384162e-08
0.0225 0.0025 8.4904927893691e-08
0.025 0.0025 8.39523911300366e-08
0.0275 0.0025 8.30056418801613e-08
0.03 0.0025 8.20646917935934e-08
0.0325 0.0025 8.11295522334099e-08
0.035 0.0025 8.02002342729718e-08
0.0375 0.0025 7.92767486926827e-08
0.04 0.0025 7.83591059767066e-08
0.0425 0.0025 7.74473163097439e-08
0.045 0.0025 7.65413895737758e-08
0.0475 0.0025 7.56413353448329e-08
0.05 0.0025 7.47471628897694e-08
0.0525 0.0025 7.38588811630387e-08
0.055 0.0025 7.29764988034957e-08
0.0575 0.0025 7.21000241311837e-08
0.06 0.0025 7.12294651441662e-08
0.0625 0.0025 7.03648295153387e-08
0.065 0.0025 6.95061245892779e-08
0.0675 0.0025 6.86533573790956e-08
0.07 0.0025 6.78065345633025e-08
0.0725 0.0025 6.69656624827051e-08
0.075 0.0025 6.61307471373088e-08
0.0775 0.0025 6.53017941832373e-08
0.08 0.0025 6.44788089296793e-08
0.0825 0.0025 6.36617963358594e-08
0.085 0.0025 6.28507610080136e-08
0.0875 0.0025 6.20457071964141e-08
0.09 0.0025 6.12466387923945e-08
0.0925 0.0025 6.04535593254101e-08
0.095 0.0025 5.96664719601394e-08
0.0975 0.0025 5.88853794935791e-08
0.1 0.0025 5.81102843522113e-08
0.1025 0.0025 5.7341188589162e-08
0.105 0.0025 5.65780938814182e-08
0.1075 0.0025 5.58210015270694e-08
0.11 0.0025 5.50699124425773e-08
0.1125 0.0025 5.43248271600934e-08
0.115 0.0025 5.35857458248007e-08
0.1175 0.0025 5.28526681923095e-08
0.12 0.0025 5.21255936260784e-08
0.1225 0.0025 5.14045210948817e-08
0.125 0.0025 5.06894491703225e-08
0.1275 0.0025 4.99803760243888e-08
0.13 0.0025 4.9277299427054e-08
0.1325 0.0025 4.85802167439198e-08
0.135 0.0025 4.78891249339173e-08
0.1375 0.0025 4.72040205470516e-08
0.14 0.0025 4.65248997222005e-08
0.1425 0.0025 4.58517581849607e-08
0.145 0.0025 4.51845912455573e-08
0.1475 0.0025 4.45233937968051e-08
0.15 0.0025 4.38681603121227e-08
0.1525 0.0025 4.32188848436179e-08
0.155 0.0025 4.25755610202162e-08
0.1575 0.0025 4.19381820458762e-08
0.16 0.0025 4.13067406978393e-08
0.1625 0.0025 4.06812293249739e-08
0.165 0.0025 4.00616398461629e-08
0.1675 0.0025 3.94479637487813e-08
0.17 0.0025 3.88401920872223e-08
0.1725 0.0025 3.82383154815186e-08
0.175 0.0025 3.7642324116018e-08
