"kD" "kA" "SR"
0.0025 0.0025 0.500000008135871
0.005 0.0025 0.500000016068564
0.0075 0.0025 0.500000023800201
0.01 0.0025 0.50000003133291
0.0125 0.0025 0.500000038668819
0.015 0.0025 0.500000045810063
0.0175 0.0025 0.500000052758778
0.02 0.0025 0.500000059517104
0.0225 0.0025 0.500000066087183
0.025 0.0025 0.500000072471161
0.0275 0.0025 0.500000078671186
0.03 0.0025 0.500000084689406
0.0325 0.0025 0.500000090527975
0.035 0.0025 0.500000096189046
0.0375 0.0025 0.500000101674773
0.04 0.0025 0.500000106987314
0.0425 0.0025 0.500000112128825
0.045 0.0025 0.500000117101465
0.0475 0.0025 0.500000121907392
0.05 0.0025 0.500000126548765
0.0525 0.0025 0.500000131027744
0.055 0.0025 0.500000135346487
0.0575 0.0025 0.500000139507153
0.06 0.0025 0.5000001435119
0.0625 0.0025 0.500000147362884
0.065 0.0025 0.500000151062261
0.0675 0.0025 0.500000154612185
0.07 0.0025 0.500000158014809
0.0725 0.0025 0.500000161272284
0.075 0.0025 0.500000164386758
0.0775 0.0025 0.500000167360376
0.08 0.0025 0.500000170195282
0.0825 0.0025 0.500000172893616
0.085 0.0025 0.500000175457515
0.0875 0.0025 0.500000177889112
0.09 0.0025 0.500000180190537
0.0925 0.0025 0.500000182363915
0.095 0.0025 0.500000184411368
0.0975 0.0025 0.500000186335011
0.1 0.0025 0.500000188136957
0.1025 0.0025 0.500000189819311
0.105 0.0025 0.500000191384175
0.1075 0.0025 0.500000192833645
0.11 0.0025 0.500000194169809
0.1125 0.0025 0.500000195394749
0.115 0.0025 0.500000196510544
0.1175 0.0025 0.500000197519262
0.12 0.0025 0.500000198422965
0.1225 0.0025 0.500000199223709
0.125 0.0025 0.500000199923541
0.1275 0.0025 0.500000200524501
0.13 0.0025 0.500000201028619
0.1325 0.0025 0.500000201437918
0.135 0.0025 0.500000201754412
0.1375 0.0025 0.500000201980106
0.14 0.0025 0.500000202116994
0.1425 0.0025 0.500000202167063
0.145 0.0025 0.500000202132288
0.1475 0.0025 0.500000202014635
0.15 0.0025 0.500000201816058
0.1525 0.0025 0.500000201538502
0.155 0.0025 0.500000201183899
0.1575 0.0025 0.500000200754172
0.16 0.0025 0.50000020025123
0.1625 0.0025 0.500000199676971
0.165 0.0025 0.500000199033282
0.1675 0.0025 0.500000198322036
0.17 0.0025 0.500000197545094
0.1725 0.0025 0.500000196704302
0.175 0.0025 0.500000195801496
0.1775 0.0025 0.500000194838497
0.18 0.0025 0.50000019381711
0.1825 0.0025 0.50000019273913
0.185 0.0025 0.500000191606334
0.1875 0.0025 0.500000190420487
0.19 0.0025 0.500000189183336
0.1925 0.0025 0.500000187896617
0.195 0.0025 0.500000186562046
0.1975 0.0025 0.500000185181328
0.2 0.0025 0.500000183756147
0.2025 0.0025 0.500000182288176
0.205 0.0025 0.500000180779066
0.2075 0.0025 0.500000179230458
0.21 0.0025 0.500000177643969
0.2125 0.0025 0.500000176021204
0.215 0.0025 0.500000174363747
0.2175 0.0025 0.500000172673169
0.22 0.0025 0.500000170951018
0.2225 0.0025 0.500000169198827
0.225 0.0025 0.500000167418108
0.2275 0.0025 0.500000165610359
0.23 0.0025 0.500000163777055
0.2325 0.0025 0.500000161919653
0.235 0.0025 0.500000160039593
0.2375 0.0025 0.500000158138292
0.24 0.0025 0.500000156217151
0.2425 0.0025 0.500000154277548
0.245 0.0025 0.500000152320844
0.2475 0.0025 0.500000150348378
0.25 0.0025 0.500000148361468
0.2525 0.0025 0.500000146361414
0.255 0.0025 0.500000144349494
0.2575 0.0025 0.500000142326964
0.26 0.0025 0.500000140295061
0.2625 0.0025 0.500000138255
0.265 0.0025 0.500000136207974
0.2675 0.0025 0.500000134155156
0.27 0.0025 0.500000132097696
0.2725 0.0025 0.500000130036724
0.275 0.0025 0.500000127973346
0.2775 0.0025 0.500000125908648
0.28 0.0025 0.500000123843694
0.2825 0.0025 0.500000121779524
0.285 0.0025 0.500000119717157
0.2875 0.0025 0.50000011765759
0.29 0.0025 0.500000115601797
0.2925 0.0025 0.500000113550729
0.295 0.0025 0.500000111505318
0.2975 0.0025 0.500000109466467
0.3 0.0025 0.500000107435063
0.3025 0.0025 0.500000105411965
0.305 0.0025 0.500000103398013
0.3075 0.0025 0.500000101394023
0.31 0.0025 0.500000099400788
0.3125 0.0025 0.500000097419077
0.315 0.0025 0.500000095449639
0.3175 0.0025 0.500000093493199
0.32 0.0025 0.500000091550458
