"kD" "s" "z1vector" "z2vector" "z3vector" "z4vector" "z5vector" "z6vector" "z7vector" "z8vector" "z9vector"
0.01 0.02 0.5 0.5 0.5 0.500000031646271 0.500000031648976 0.500000031661571 0.500003044638922 0.500003045413776 0.500003048646732
0.02 0.02 0.5 0.5 0.5 0.500000060726952 0.500000060762063 0.500000060900278 0.500006118754296 0.500006124549965 0.500006146798776
0.03 0.02 0.5 0.5 0.5 0.500000087314836 0.50000008744772 0.500000087947461 0.500009221388746 0.50000924077598 0.500009312910178
0.04 0.02 0.5 0.5 0.5 0.500000111484766 0.500000111813171 0.500000113022514 0.500012351470482 0.50001239778161 0.500012567375891
0.05 0.02 0.5 0.5 0.5 0.500000133313547 0.500000133964284 0.500000136333001 0.500015507806517 0.500015599608924 0.500015932755322
0.06 0.02 0.5 0.5 0.5 0.500000152879856 0.500000154005453 0.500000158074795 0.50001868907573 0.50001885068519 0.500019434025177
0.07 0.02 0.5 0.5 0.5 0.500000170264137 0.500000172039486 0.500000178432251 0.500021893821813 0.500022155859142 0.500023098865308
0.08 0.02 0.5 0.5 0.5 0.500000185548487 0.500000188167493 0.500000197578407 0.500025120446132 0.500025520440956 0.500026957981601
0.09 0.02 0.5 0.5 0.5 0.500000198816536 0.500000202488772 0.500000215675217 0.50002836720054 0.500028950246344 0.500031045470281
0.1 0.02 0.5 0.5 0.5 0.500000210153318 0.500000215100709 0.500000232873808 0.500031632180194 0.500032451645224 0.500035399228307
0.11 0.02 0.5 0.5 0.5 0.500000219645126 0.500000226098675 0.500000249314769 0.500034913316435 0.500036031615448 0.500040061414739
0.12 0.02 0.5 0.5 0.5 0.500000227379366 0.500000235575927 0.500000265128461 0.500038208369784 0.50003969780216 0.500045078968039
0.13 0.02 0.5 0.5 0.5 0.500000233444394 0.500000243623516 0.500000280435354 0.500041514923141 0.500043458583375 0.500050504184162
0.14 0.02 0.5 0.5 0.5 0.500000237929351 0.500000250330201 0.500000295346382 0.500044830375244 0.500047323142438 0.500056395359867
0.15 0.02 0.5 0.5 0.5 0.500000240923981 0.500000255782364 0.500000309963324 0.500048151934507 0.500051301548098 0.50006281750484
0.16 0.02 0.5 0.5 0.5 0.500000242518444 0.500000260063934 0.500000324379196 0.500051476613316 0.500055404842965 0.500069843124743
0.17 0.02 0.5 0.5 0.5 0.500000242803123 0.500000263256317 0.500000338678668 0.500054801222892 0.500059645141197 0.500077553075047
0.18 0.02 0.5 0.5 0.5 0.500000241868415 0.500000265438329 0.500000352938483 0.500058122368864 0.500064035736299 0.500086037482028
0.19 0.02 0.5 0.5 0.5 0.50000023980452 0.500000266686141 0.500000367227896 0.500061436447646 0.500068591219977 0.500095396722398
0.2 0.02 0.5 0.5 0.5 0.500000236701222 0.500000267073226 0.500000381609117 0.500064739643795 0.50007332761301 0.500105742446051
0.21 0.02 0.5 0.5 0.5 0.500000232647656 0.500000266670316 0.500000396137758 0.500068027928468 0.500078262509103 0.500117198616965
0.22 0.02 0.5 0.5 0.5 0.500000227732086 0.500000265545363 0.500000410863283 0.500071297059158 0.500083415232679 0.500129902534511
0.23 0.02 0.5 0.5 0.5 0.500000222041654 0.500000263763513 0.500000425829463 0.500074542580867 0.500088807011456 0.500144005780758
0.24 0.02 0.5 0.5 0.5 0.500000215662147 0.500000261387081 0.500000441074814 0.500077759828881 0.500094461164572 0.500159675017921
0.25 0.02 0.5 0.5 0.5 0.500000208677744 0.500000258475541 0.500000456633043 0.50008094393334 0.500100403306731 0.500177092533272
0.26 0.02 0.5 0.5 0.5 0.500000201170773 0.500000255085514 0.500000472533473 0.500084089825772 0.500106661568551 0.500196456396173
0.27 0.02 0.5 0.5 0.5 0.500000193221462 0.500000251270778 0.500000488801458 0.500087192247773 0.500113266832766 0.500217980053598
0.28 0.02 0.5 0.5 0.5 0.50000018490769 0.500000247082269 0.500000505458784 0.500090245762019 0.500120252985232 0.500241891147588
0.29 0.02 0.5 0.5 0.5 0.500000176304744 0.500000242568106 0.50000052252405 0.50009324476577 0.500127657178736 0.500268429293394
0.3 0.02 0.5 0.5 0.5 0.500000167485076 0.50000023777361 0.500000540013023 0.500096183507039 0.500135520106306 0.500297842515374
0.31 0.02 0.5 0.5 0.5 0.500000158518073 0.500000232741341 0.500000557938977 0.500099056103578 0.500143886278995 0.500330382007353
0.32 0.02 0.5 0.5 0.5 0.500000149469829 0.500000227511136 0.500000576312993 0.5001018565648 0.500152804300919 0.500366294877166
0.33 0.02 0.5 0.5 0.5 0.500000140402927 0.500000222120157 0.500000595144239 0.500104578816759 0.500162327131488 0.500405814567927
0.34 0.02 0.5 0.5 0.5 0.500000131376241 0.500000216602944 0.500000614440216 0.500107216730263 0.500172512321183 0.500449148741735
0.35 0.02 0.5 0.5 0.5 0.500000122444745 0.500000210991476 0.500000634206966 0.500109764152173 0.500183422202893 0.500496464587128
0.36 0.02 0.5 0.5 0.5 0.500000113659341 0.500000205315238 0.500000654449252 0.500112214939896 0.500195124015483 0.500547871789358
0.37 0.02 0.5 0.5 0.5 0.500000105066713 0.500000199601293 0.50000067517069 0.500114562999041 0.500207689930048 0.500603403791402
0.38 0.02 0.5 0.5 0.5 0.50000009670919 0.500000193874358 0.500000696373856 0.500116802324172 0.500221196942192 0.500662998461921
0.39 0.02 0.5 0.5 0.5 0.500000088624648 0.50000018815689 0.500000718060343 0.500118927042513 0.50023572658586 0.50072647982937
0.4 0.02 0.5 0.5 0.5 0.500000080846429 0.500000182469167 0.50000074023078 0.500120931460444 0.500251364416244 0.500793543052375
0.41 0.02 0.5 0.5 0.5 0.500000073403294 0.500000176829382 0.500000762884814 0.500122810112543 0.500268199201755 0.500863745146925
0.42 0.02 0.5 0.5 0.5 0.500000066319402 0.500000171253735 0.500000786021042 0.50012455781289 0.500286321759205 0.500936504026342
0.43 0.02 0.5 0.5 0.5 0.500000059614326 0.500000165756528 0.500000809636908 0.500126169708294 0.500305823363866 0.501011107988198
0.44 0.02 0.5 0.5 0.5 0.500000053303107 0.50000016035026 0.500000833728553 0.500127641333048 0.500326793669263 0.501086736826899
0.45 0.02 0.5 0.5 0.5 0.500000047396331 0.500000155045732 0.50000085829062 0.500128968664792 0.500349318083267 0.501162494309051
0.46 0.02 0.5 0.5 0.5 0.50000004190026 0.500000149852137 0.500000883316016 0.500130148180995 0.500373474570564 0.501237450024475
0.47 0.02 0.5 0.5 0.5 0.500000036816983 0.500000144777166 0.50000090879563 0.500131176915578 0.500399329890321 0.501310686961228
0.48 0.02 0.5 0.5 0.5 0.500000032144619 0.500000139827103 0.500000934717998 0.500132052515167 0.500426935334297 0.501381349949702
0.49 0.02 0.5 0.5 0.5 0.500000027877545 0.500000135006922 0.500000961068928 0.500132773294476 0.500456322105882 0.501448689714885
0.5 0.02 0.5 0.5 0.5 0.500000024006666 0.500000130320384 0.500000987831067 0.500133338290339 0.500487496571979 0.501512097816195
0.01 0.04 0.5 0.5 0.5 0.500000031647276 0.50000003165832 0.500000031709739 0.500003044889102 0.500003048052587 0.500003061260096
0.02 0.04 0.5 0.5 0.5 0.500000060739024 0.500000060882447 0.50000006144778 0.500006120650687 0.500006144337786 0.500006235460914
0.03 0.04 0.5 0.5 0.5 0.500000087359866 0.500000087903458 0.50000008995451 0.500009227760264 0.500009307136591 0.500009603792432
0.04 0.04 0.5 0.5 0.5 0.500000111595304 0.500000112941652 0.500000117930259 0.500012366714449 0.500012556800115 0.500013258313026
0.05 0.04 0.5 0.5 0.5 0.50000013353162 0.500000136207306 0.500000146045032 0.500015538033014 0.500015916081543 0.500017304528636
0.06 0.04 0.5 0.5 0.5 0.500000153255762 0.500000157901468 0.500000174948577 0.500018742261145 0.500019410527744 0.500021864534694
0.07 0.04 0.5 0.5 0.5 0.500000170855233 0.500000178216801 0.500000205280946 0.500021979971969 0.500023068941827 0.500027080839277
0.08 0.04 0.5 0.5 0.5 0.500000186417971 0.50000019733846 0.500000237683647 0.500025251769332 0.500026923930066 0.500033121007952
0.09 0.04 0.5 0.5 0.5 0.500000200032225 0.500000215445039 0.500000272811578 0.500028558290907 0.500031012549246 0.500040183294456
0.1 0.04 0.5 0.5 0.5 0.500000211786435 0.50000023270957 0.500000311345923 0.500031900211629 0.500035377073549 0.500048503444844
0.11 0.04 0.5 0.5 0.5 0.500000221769092 0.500000249300596 0.500000354008277 0.500035278247517 0.500040065903664 0.500058362882931
0.12 0.04 0.5 0.5 0.5 0.500000230068611 0.500000265383334 0.500000401576278 0.500038693159914 0.500045134644989 0.500070098495871
0.13 0.04 0.5 0.5 0.5 0.500000236773192 0.500000281120931 0.500000454901116 0.500042145760203 0.500050647386508 0.500084114231176
0.14 0.04 0.5 0.5 0.5 0.50000024197068 0.50000029667584 0.50000051492736 0.500045636915043 0.500056678217196 0.500100894675072
0.15 0.04 0.5 0.5 0.5 0.50000024574842 0.500000312211339 0.500000582715637 0.500049167552193 0.500063313022535 0.50012102068324
0.16 0.04 0.5 0.5 0.5 0.500000248193114 0.500000327893212 0.500000659468802 0.500052738666987 0.500070651609534 0.500145186943833
0.17 0.04 0.5 0.5 0.5 0.500000249390673 0.500000343891635 0.500000746562417 0.50005635132954 0.500078810214164 0.500174221019121
0.18 0.04 0.5 0.5 0.5 0.500000249426069 0.500000360383294 0.500000845580487 0.50006000669276 0.500087924449351 0.500209102869179
0.19 0.04 0.5 0.5 0.5 0.500000248383182 0.500000377553805 0.500000958357675 0.500063706001277 0.500098152753299 0.500250983025311
