"kD" "kA" "z1vector" "z2vector" "z3vector" "z4vector" "z5vector" "z6vector" "z7vector" "z8vector" "z9vector"
0.01 0.01 0.5 0.5 0.5 0.500000006251348 0.500000006267268 0.500000006444958 0.500000601830808 0.500000605710358 0.500000637817865
0.02 0.01 0.5 0.5 0.5 0.500000012005721 0.500000012147704 0.500000013206119 0.500001210652671 0.500001229900576 0.500001370447565
0.03 0.01 0.5 0.5 0.5 0.50000001727636 0.500000017648246 0.500000020331393 0.500001826495108 0.500001873581271 0.500002214503057
0.04 0.01 0.5 0.5 0.5 0.50000002207692 0.500000022776173 0.500000027874914 0.500002449381395 0.500002537845093 0.500003189811836
0.05 0.01 0.5 0.5 0.5 0.500000026421458 0.500000027539104 0.500000035897942 0.500003079327925 0.500003223875513 0.500004320091373
0.06 0.01 0.5 0.5 0.5 0.500000030324417 0.500000031944995 0.500000044469917 0.500003716343513 0.500003932956772 0.500005633778739
0.07 0.01 0.5 0.5 0.5 0.500000033800616 0.500000036002143 0.500000053669686 0.500004360428653 0.500004666485177 0.50000716505022
0.08 0.01 0.5 0.5 0.5 0.500000036865225 0.500000039719179 0.500000063586931 0.500005011574704 0.500005425981954 0.500008955076908
0.09 0.01 0.5 0.5 0.5 0.500000039533756 0.500000043105069 0.500000074323853 0.500005669763016 0.50000621310791 0.500011053573753
0.1 0.01 0.5 0.5 0.5 0.500000041822032 0.500000046169104 0.500000085997132 0.50000633496399 0.500007029680223 0.500013520713838
0.11 0.01 0.5 0.5 0.5 0.500000043746173 0.500000048920903 0.500000098740246 0.500007007136057 0.500007877691694 0.500016429497451
0.12 0.01 0.5 0.5 0.5 0.500000045322565 0.500000051370402 0.500000112706195 0.500007686224577 0.500008759332927 0.500019868687382
0.13 0.01 0.5 0.5 0.5 0.500000046567838 0.50000005352785 0.500000128070724 0.500008372160658 0.500009677017923 0.500023946448618
0.14 0.01 0.5 0.5 0.5 0.500000047498833 0.500000055403801 0.500000145036142 0.500009064859874 0.500010633413743 0.500028794862796
0.15 0.01 0.5 0.5 0.5 0.500000048132573 0.500000057009106 0.500000163835853 0.500009764220891 0.500011631474972 0.500034575525721
0.16 0.01 0.5 0.5 0.5 0.500000048486231 0.500000058354905 0.50000018473975 0.500010470123983 0.500012674483929 0.500041486479713
0.17 0.01 0.5 0.5 0.5 0.500000048577092 0.500000059452615 0.50000020806066 0.500011182429435 0.500013766097724 0.500049770779918
0.18 0.01 0.5 0.5 0.5 0.500000048422521 0.500000060313923 0.500000234162058 0.500011900975823 0.500014910403549 0.500059727041144
0.19 0.01 0.5 0.5 0.5 0.500000048039915 0.500000060950774 0.500000263467315 0.500012625578172 0.500016111983892 0.500071722351438
0.2 0.01 0.5 0.5 0.5 0.500000047446672 0.50000006137536 0.500000296470852 0.500013356025967 0.500017375993752 0.500086207956144
0.21 0.01 0.5 0.5 0.5 0.500000046660139 0.500000061600109 0.500000333751585 0.500014092081021 0.500018708252455 0.50010373808652
0.22 0.01 0.5 0.5 0.5 0.500000045697573 0.500000061637673 0.500000375989229 0.500014833475188 0.500020115353292 0.500124992188908
0.23 0.01 0.5 0.5 0.5 0.500000044576091 0.500000061500922 0.500000423984087 0.500015579907912 0.500021604795005 0.500150800538798
0.24 0.01 0.5 0.5 0.5 0.500000043312623 0.500000061202926 0.500000478681176 0.500016331043594 0.500023185140212 0.500182172700677
0.25 0.01 0.5 0.5 0.5 0.500000041923862 0.500000060756956 0.500000541199729 0.500017086508783 0.500024866207164 0.5002203273805
0.26 0.01 0.5 0.5 0.5 0.500000040426216 0.500000060176474 0.50000061286938 0.500017845889165 0.500026659302974 0.500266720733057
0.27 0.01 0.5 0.5 0.5 0.50000003883575 0.500000059475132 0.500000695274713 0.500018608726351 0.500028577508683 0.500323067931892
0.28 0.01 0.5 0.5 0.5 0.50000003716814 0.50000005866677 0.5000007903103 0.50001937451445 0.500030636029436 0.500391349633815
0.29 0.01 0.5 0.5 0.5 0.500000035438617 0.500000057765428 0.500000900248933 0.500020142696418 0.500032852626846 0.500473790924878
0.3 0.01 0.5 0.5 0.5 0.500000033661914 0.500000056785357 0.50000102782653 0.500020912660176 0.500035248155612 0.500572795954951
0.31 0.01 0.5 0.5 0.5 0.500000031852217 0.500000055741044 0.500001176348194 0.500021683734483 0.500037847233019 0.500690818190117
0.32 0.01 0.5 0.5 0.5 0.500000030023109 0.500000054647249 0.50000134982119 0.500022455184572 0.500040679078574 0.500830146806832
0.33 0.01 0.5 0.5 0.5 0.500000028187524 0.500000053519053 0.500001553122325 0.500023226207522 0.500043778572489 0.500992598387383
0.34 0.01 0.5 0.5 0.5 0.500000026357696 0.500000052371936 0.500001792209468 0.500023995927389 0.500047187596773 0.50117912425039
0.35 0.01 0.5 0.5 0.5 0.500000024545112 0.500000051221868 0.500002074389908 0.500024763390067 0.500050956742594 0.501389379228497
0.36 0.01 0.5 0.5 0.5 0.500000022760472 0.500000050085446 0.500002408662197 0.500025527557912 0.500055147493746 0.501621341539894
0.37 0.01 0.5 0.5 0.5 0.500000021013645 0.500000048980065 0.500002806153335 0.500026287304107 0.500059835030172 0.501871107796017
0.38 0.01 0.5 0.5 0.5 0.500000019313638 0.500000047924148 0.500003280680131 0.500027041406805 0.500065111839608 0.502132985253498
