"G" "A1D1X" "A2D1X" "A1D1Y" "A2D1Y" "A1D2X" "A2D2X" "A1D2Y" "A2D2Y"
1 0.249985676586473 0.249933521767077 0.250014765179195 0.249958300938655 1.45588552163319e-08 2.69193232949978e-05 4.36765656489958e-08 8.07579698849933e-05
2 0.249982346938385 0.249952377063039 0.250005846472084 0.249972394861724 2.16067077667172e-08 2.17370594839349e-05 6.48201233001516e-08 6.52111784518047e-05
3 0.249984389836227 0.249952956936539 0.250006358170304 0.249972756157949 2.95224268258307e-08 2.08552023182933e-05 8.85672804774921e-08 6.25656069548799e-05
4 0.249984521687822 0.249952328042333 0.250006513982208 0.249972434396223 3.82820528340569e-08 2.10121908008937e-05 1.14846158502171e-07 6.30365724026811e-05
5 0.249984333925395 0.24995124493729 0.250006732223881 0.249971792412617 4.73692141440246e-08 2.1426755989982e-05 1.42107642432074e-07 6.42802679699461e-05
6 0.249984064877216 0.249950031121763 0.25000696996666 0.249971060291121 5.65350670200454e-08 2.19119007430268e-05 1.69605201060136e-07 6.57357022290805e-05
7 0.249983771506432 0.249948763711788 0.250007216966033 0.249970292944471 6.5692652588879e-08 2.24230251663124e-05 1.97077957766637e-07 6.72690754989372e-05
8 0.249983467348417 0.249947460670305 0.250007470869101 0.249969503219055 7.48185408569748e-08 2.29496547395503e-05 2.24455622570924e-07 6.88489642186508e-05
9 0.249983155520135 0.249946125765395 0.250007731215265 0.249968693868898 8.39107367415695e-08 2.34894968401318e-05 2.51732210224709e-07 7.04684905203955e-05
10 0.249982836637521 0.249944759348779 0.250007998000135 0.249967865220399 9.29738973188573e-08 2.40422243942567e-05 2.78921691956572e-07 7.21266731827702e-05
11 0.249982510714096 0.249943360940231 0.250008271331376 0.249967017010032 1.02014602032818e-07 2.46079864644871e-05 3.06043806098454e-07 7.38239593934613e-05
12 0.249982177616236 0.249941929847039 0.250008551346278 0.249966148824821 1.11039921874149e-07 2.51870514849223e-05 3.33119765622447e-07 7.5561154454767e-05
13 0.249981837172285 0.249940465312266 0.250008838192061 0.249965260207781 1.2005700479251e-07 2.57797218968757e-05 3.60171014377531e-07 7.7339165690627e-05
14 0.249981489198654 0.249938966549999 0.250009132021209 0.249964350683018 1.29072961808793e-07 2.63863138180974e-05 3.87218885426379e-07 7.91589414542922e-05
15 0.249981133506001 0.249937432753479 0.250009432990418 0.249963419761553 1.38094839614842e-07 2.70071522974541e-05 4.14284518844526e-07 8.10214568923624e-05
16 0.249980769900644 0.249935863096736 0.250009741260399 0.249962466942524 1.4712961748713e-07 2.76425703068036e-05 4.41388852461391e-07 8.29277109204107e-05
17 0.249980398184813 0.249934256734643 0.250010056995903 0.249961491713272 1.56184210868693e-07 2.82929086311634e-05 4.6855263260608e-07 8.48787258934903e-05
18 0.249980018156638 0.249932612802598 0.250010380365787 0.249960493549162 1.65265476697293e-07 2.89585159770082e-05 4.95796430091878e-07 8.68755479310245e-05
19 0.249979629610062 0.249930930416099 0.250010711543099 0.249959471913321 1.74380219127618e-07 2.96397491357791e-05 5.23140657382853e-07 8.89192474073373e-05
20 0.24997923233474 0.249929208670288 0.250011050705169 0.249958426256367 1.83535195282815e-07 3.03369731636321e-05 5.50605585848444e-07 9.10109194908965e-05
21 0.24997882611593 0.249927446639487 0.2500113980337 0.249957356016126 1.9273712094069e-07 3.10505615681436e-05 5.7821136282207e-07 9.31516847044308e-05
22 0.249978410734385 0.249925643376714 0.250011753714865 0.249956260617333 2.01992676133031e-07 3.17808964998118e-05 6.05978028399094e-07 9.53426894994353e-05
23 0.249977985966237 0.24992379791319 0.250012117939402 0.249955139471336 2.11308510656075e-07 3.25283689478978e-05 6.33925531968226e-07 9.75851068436934e-05
