"k" "t" "DF"
0.0025 0.005 2.24438000456651e-09
0.005 0.005 2.20070067575336e-09
0.0075 0.005 2.15767549951695e-09
0.01 0.005 2.11529808116004e-09
0.0125 0.005 2.07356204249337e-09
0.015 0.005 2.0324610222772e-09
0.0175 0.005 1.99198867665751e-09
0.02 0.005 1.95213867960329e-09
0.0225 0.005 1.91290472333957e-09
0.025 0.005 1.87428051878122e-09
0.0275 0.005 1.83625979596113e-09
0.03 0.005 1.7988363044601e-09
0.0325 0.005 1.76200381383109e-09
0.035 0.005 1.72575611402375e-09
0.0375 0.005 1.69008701580473e-09
0.04 0.005 1.65499035117699e-09
0.0425 0.005 1.62045997379522e-09
0.045 0.005 1.58648975938007e-09
0.0475 0.005 1.55307360612764e-09
0.05 0.005 1.52020543511892e-09
0.0525 0.005 1.4878791907233e-09
0.055 0.005 1.45608884100174e-09
0.0575 0.005 1.42482837810497e-09
0.06 0.005 1.39409181867041e-09
0.0625 0.005 1.36387320421344e-09
0.065 0.005 1.33416660151804e-09
0.0675 0.005 1.30496610302239e-09
0.07 0.005 1.27626582720095e-09
0.0725 0.005 1.24805991894362e-09
0.075 0.005 1.22034254993207e-09
0.0775 0.005 1.1931079190105e-09
0.08 0.005 1.16635025255343e-09
0.0825 0.005 1.14006380483074e-09
0.085 0.005 1.11424285836681e-09
0.0875 0.005 1.08888172429741e-09
0.09 0.005 1.06397474272114e-09
0.0925 0.005 1.03951628304792e-09
0.095 0.005 1.01550074434223e-09
0.0975 0.005 9.91922555662524e-10
0.1 0.005 9.68776176396342e-10
0.1025 0.005 9.46056096590699e-10
0.105 0.005 9.23756837277595e-10
0.1075 0.005 9.01872950796333e-10
0.11 0.005 8.80399021109182e-10
0.1125 0.005 8.59329664114015e-10
0.115 0.005 8.38659527950642e-10
0.1175 0.005 8.18383293303813e-10
0.12 0.005 7.98495673699987e-10
0.1225 0.005 7.78991415799215e-10
0.125 0.005 7.59865299682747e-10
0.1275 0.005 7.4111213913499e-10
0.13 0.005 7.2272678191994e-10
0.1325 0.005 7.04704110052487e-10
0.135 0.005 6.87039040064737e-10
0.1375 0.005 6.69726523266733e-10
0.14 0.005 6.52761546001321e-10
0.1425 0.005 6.36139129893954e-10
0.145 0.005 6.19854332096747e-10
0.1475 0.005 6.03902245526849e-10
0.15 0.005 5.8827799909913e-10
0.1525 0.005 5.72976757953163e-10
0.155 0.005 5.57993723674296e-10
0.1575 0.005 5.4332413450882e-10
0.16 0.005 5.28963265573596e-10
0.1625 0.005 5.14906429059185e-10
0.165 0.005 5.01148974427352e-10
0.1675 0.005 4.87686288602335e-10
0.17 0.005 4.74513796156177e-10
0.1725 0.005 4.61626959487616e-10
0.175 0.005 4.49021278995217e-10
0.1775 0.005 4.36692293243846e-10
0.18 0.005 4.24635579125292e-10
0.1825 0.005 4.12846752012272e-10
0.185 0.005 4.01321465906166e-10
0.1875 0.005 3.90055413578485e-10
0.19 0.005 3.79044326705944e-10
0.1925 0.005 3.68283975999074e-10
0.195 0.005 3.57770171324222e-10
0.1975 0.005 3.47498761819212e-10
0.2 0.005 3.3746563600266e-10
0.2025 0.005 3.27666721876484e-10
0.205 0.005 3.18097987021798e-10
0.2075 0.005 3.08755438688552e-10
0.21 0.005 2.99635123878409e-10
0.2125 0.005 2.90733129420985e-10
0.215 0.005 2.82045582043442e-10
0.2175 0.005 2.73568648433535e-10
0.22 0.005 2.65298535295998e-10
0.2225 0.005 2.57231489402188e-10
0.225 0.005 2.49363797633072e-10
0.2275 0.005 2.41691787015726e-10
0.23 0.005 2.34211824752891e-10
0.2325 0.005 2.26920318246022e-10
0.235 0.005 2.19813715111596e-10
0.2375 0.005 2.12888503190837e-10
0.24 0.005 2.06141210552491e-10
0.2425 0.005 1.99568405489398e-10
0.245 0.005 1.93166696508016e-10
0.2475 0.005 1.86932732311344e-10
0.25 0.005 1.80863201775352e-10
0.2525 0.005 1.7495483391878e-10
0.255 0.005 1.692043978662e-10
0.2575 0.005 1.63608702804421e-10
0.26 0.005 1.58164597932608e-10
0.2625 0.005 1.52868972405613e-10
0.265 0.005 1.4771875527084e-10
0.2675 0.005 1.42710915398507e-10
0.27 0.005 1.37842461405572e-10
0.2725 0.005 1.33110441573177e-10
0.275 0.005 1.28511943757531e-10
0.2775 0.005 1.24044095294521e-10
0.28 0.005 1.19704062897906e-10
0.2825 0.005 1.1548905255128e-10
0.285 0.005 1.11396309393554e-10
0.2875 0.005 1.07423117598378e-10
0.29 0.005 1.03566800247211e-10
0.2925 0.005 9.98247191962636e-11
0.295 0.005 9.6194274937421e-11
0.2975 0.005 9.26729064529128e-11
0.3 0.005 8.92580910639983e-11
0.3025 0.005 8.59473442737389e-11
0.305 0.005 8.27382196037937e-11
0.3075 0.005 7.96283084253212e-11
0.31 0.005 7.66152397839965e-11
0.3125 0.005 7.36966802193809e-11
0.315 0.005 7.08703335785186e-11
0.3175 0.005 6.81339408238397e-11
0.32 0.005 6.54852798354817e-11
0.3225 0.005 6.29221652081204e-11
0.325 0.005 6.04424480422969e-11
0.3275 0.005 5.80440157303603e-11
0.33 0.005 5.57247917370166e-11
0.3325 0.005 5.34827353746738e-11
0.335 0.005 5.13158415735822e-11
0.3375 0.005 4.92221406468108e-11
0.34 0.005 4.71996980501734e-11
0.3425 0.005 4.52466141371899e-11
0.345 0.005 4.33610239091898e-11
0.3475 0.005 4.15410967604825e-11
0.35 0.005 3.97850362188871e-11
0.3525 0.005 3.80910796815131e-11
0.355 0.005 3.64574981460094e-11
0.3575 0.005 3.4882595937321e-11
0.36 0.005 3.33647104299673e-11
0.3625 0.005 3.19022117660496e-11
0.365 0.005 3.04935025689923e-11
0.3675 0.005 2.91370176531486e-11
0.37 0.005 2.78312237293259e-11
0.3725 0.005 2.6574619106334e-11
0.375 0.005 2.53657333886891e-11
0.3775 0.005 2.42031271705153e-11
