"k" "t" "SR"
0.0025 0.005 0.500000000011222
0.005 0.005 0.500000000022007
0.0075 0.005 0.500000000032365
0.01 0.005 0.500000000042306
0.0125 0.005 0.500000000051839
0.015 0.005 0.500000000060974
0.0175 0.005 0.50000000006972
0.02 0.005 0.500000000078085
0.0225 0.005 0.500000000086081
0.025 0.005 0.500000000093714
0.0275 0.005 0.500000000100994
0.03 0.005 0.50000000010793
0.0325 0.005 0.50000000011453
0.035 0.005 0.500000000120803
0.0375 0.005 0.500000000126756
0.04 0.005 0.500000000132399
0.0425 0.005 0.500000000137739
0.045 0.005 0.500000000142784
0.0475 0.005 0.500000000147542
0.05 0.005 0.50000000015202
0.0525 0.005 0.500000000156227
0.055 0.005 0.50000000016017
0.0575 0.005 0.500000000163855
0.06 0.005 0.500000000167291
0.0625 0.005 0.500000000170484
0.065 0.005 0.500000000173442
0.0675 0.005 0.50000000017617
0.07 0.005 0.500000000178677
0.0725 0.005 0.500000000180969
0.075 0.005 0.500000000183051
0.0775 0.005 0.500000000184932
0.08 0.005 0.500000000186616
0.0825 0.005 0.50000000018811
0.085 0.005 0.500000000189421
0.0875 0.005 0.500000000190554
0.09 0.005 0.500000000191515
0.0925 0.005 0.50000000019231
0.095 0.005 0.500000000192945
0.0975 0.005 0.500000000193425
0.1 0.005 0.500000000193755
0.1025 0.005 0.500000000193942
0.105 0.005 0.500000000193989
0.1075 0.005 0.500000000193903
0.11 0.005 0.500000000193688
0.1125 0.005 0.500000000193349
0.115 0.005 0.500000000192892
0.1175 0.005 0.50000000019232
0.12 0.005 0.500000000191639
0.1225 0.005 0.500000000190853
0.125 0.005 0.500000000189966
0.1275 0.005 0.500000000188983
0.13 0.005 0.500000000187909
0.1325 0.005 0.500000000186747
0.135 0.005 0.5000000001855
0.1375 0.005 0.500000000184175
0.14 0.005 0.500000000182773
0.1425 0.005 0.5000000001813
0.145 0.005 0.500000000179758
0.1475 0.005 0.500000000178151
0.15 0.005 0.500000000176483
0.1525 0.005 0.500000000174758
0.155 0.005 0.500000000172978
0.1575 0.005 0.500000000171147
0.16 0.005 0.500000000169268
0.1625 0.005 0.500000000167345
0.165 0.005 0.500000000165379
0.1675 0.005 0.500000000163375
0.17 0.005 0.500000000161335
0.1725 0.005 0.500000000159261
0.175 0.005 0.500000000157157
0.1775 0.005 0.500000000155026
0.18 0.005 0.500000000152869
0.1825 0.005 0.500000000150689
0.185 0.005 0.500000000148489
0.1875 0.005 0.500000000146271
0.19 0.005 0.500000000144037
0.1925 0.005 0.500000000141789
0.195 0.005 0.50000000013953
0.1975 0.005 0.500000000137262
0.2 0.005 0.500000000134986
0.2025 0.005 0.500000000132705
