"k" "c" "DF"
0.005 0.505 3.20174035942227e-05
0.01 0.505 3.36146702598179e-05
0.015 0.505 3.53190970862479e-05
0.02 0.505 3.71387563311648e-05
0.025 0.505 3.90824028853885e-05
0.03 0.505 4.11595376076224e-05
0.035 0.505 4.3380476971884e-05
0.04 0.505 4.57564296873928e-05
0.045 0.505 4.82995810205222e-05
0.05 0.505 5.10231856249559e-05
0.055 0.505 5.3941669770375e-05
0.06 0.505 5.70707439519406e-05
0.065 0.505 6.04275269632177e-05
0.07 0.505 6.40306826241617e-05
0.075 0.505 6.79005704736938e-05
0.08 0.505 7.20594118633817e-05
0.085 0.505 7.653147302388e-05
0.09 0.505 8.13432668198185e-05
0.095 0.505 8.6523775058819e-05
0.1 0.505 9.21046933762903e-05
0.105 0.505 9.81207008752962e-05
0.11 0.505 0.000104609756857547
0.115 0.505 0.000111613427131075
0.12 0.505 0.00011917724251544
0.125 0.505 0.000127351092276844
0.13 0.505 0.000136189655299205
0.135 0.505 0.000145752871817495
0.14 0.505 0.00015610645848253
0.145 0.505 0.000167322469365371
0.15 0.505 0.000179479905206534
0.155 0.505 0.000192665372726206
0.16 0.505 0.000206973795078226
0.165 0.505 0.000222509173481669
0.17 0.505 0.000239385398613223
0.175 0.505 0.000257727108382022
0.18 0.505 0.00027767058611078
0.185 0.505 0.000299364689757528
0.19 0.505 0.000322971798454997
0.195 0.505 0.00034866875711494
0.2 0.505 0.000376647792914154
0.205 0.505 0.000407117368907681
0.21 0.505 0.000440302929547446
0.215 0.505 0.000476447480300804
0.22 0.505 0.000515811928669526
0.225 0.505 0.000558675096637406
0.23 0.505 0.000605333294999853
0.235 0.505 0.000656099328515566
0.24 0.505 0.00071130077810013
0.245 0.505 0.000771277383649574
0.25 0.505 0.000836377330538308
0.255 0.505 0.000906952227310684
0.26 0.505 0.000983350555600315
0.265 0.505 0.00106590938109058
0.27 0.505 0.00115494414282457
0.275 0.505 0.00125073639475802
0.28 0.505 0.00135351946590126
0.285 0.505 0.00146346214075126
0.29 0.505 0.00158065064467833
0.295 0.505 0.00170506944956113
0.3 0.505 0.00183658168602297
0.305 0.505 0.00197491024274463
0.31 0.505 0.00211962092096272
0.315 0.505 0.00227010925112496
0.32 0.505 0.00242559271622897
0.325 0.505 0.00258511010592195
0.33 0.505 0.00274752949663227
0.335 0.505 0.00291156588525024
0.34 0.505 0.00307580880076696
0.345 0.505 0.00323875932806385
0.35 0.505 0.00339887499658559
0.355 0.505 0.00355462004776343
0.36 0.505 0.00370451784931417
0.365 0.505 0.00384720180797473
0.37 0.505 0.0039814611345954
0.375 0.505 0.00410627825591896
0.38 0.505 0.00422085548644309
0.385 0.505 0.00432462964510386
0.39 0.505 0.00441727445962804
0.395 0.505 0.00449869167788043
0.4 0.505 0.00456899266276704
0.405 0.505 0.00462847280130174
0.41 0.505 0.00467758128625494
0.415 0.505 0.00471688876126666
0.42 0.505 0.00474705502529658
0.425 0.505 0.00476879855449204
0.43 0.505 0.00478286910218576
0.435 0.505 0.00479002414977185
0.44 0.505 0.00479100955101236
0.445 0.505 0.0047865443669438
0.45 0.505 0.00477730963670606
0.455 0.505 0.00476394066670628
0.46 0.505 0.00474702233375999
0.465 0.505 0.00472708687079517
0.47 0.505 0.00470461361950176
0.475 0.505 0.00468003027789276
0.48 0.505 0.00465371522967851
0.485 0.505 0.00462600060735309
0.49 0.505 0.00459717580537742
0.495 0.505 0.00456749121971823
0.5 0.505 0.00453716204295426
0.005 0.51 3.40073614848182e-05
0.01 0.51 3.73656984400277e-05
0.015 0.51 4.11276021704643e-05
0.02 0.51 4.53457840272573e-05
0.025 0.51 5.00804242541423e-05
0.03 0.51 5.54003045181395e-05
0.035 0.51 6.13841216590448e-05
0.04 0.51 6.81220126765161e-05
0.045 0.51 7.57173259540586e-05
0.05 0.51 8.42886794684131e-05
0.055 0.51 9.39723533347109e-05
0.06 0.51 0.000104925071569099
0.065 0.51 0.000117327236466177
