"k" "c" "SR"
0.005 0.505 0.50000357192241
0.01 0.505 0.500007529681826
0.015 0.505 0.500011910152633
0.02 0.505 0.500016753603058
0.025 0.505 0.500022103985269
0.03 0.505 0.500028009244258
0.035 0.505 0.500034521645131
0.04 0.505 0.50004169811798
0.045 0.505 0.500049600618847
0.05 0.505 0.500058296504509
0.055 0.505 0.500067858917854
0.06 0.505 0.500078367179391
0.065 0.505 0.500089907179022
0.07 0.505 0.500102571760456
0.075 0.505 0.500116461088613
0.08 0.505 0.500131682987956
0.085 0.505 0.500148353236973
0.09 0.505 0.500166595800855
0.095 0.505 0.500186542980971
0.1 0.505 0.500208335455879
0.105 0.505 0.500232122184592
0.11 0.505 0.500258060138566
0.115 0.505 0.500286313824774
0.12 0.505 0.500317054558404
0.125 0.505 0.500350459440543
0.13 0.505 0.50038670999423
0.135 0.505 0.500425990411919
0.14 0.505 0.500468485369426
0.145 0.505 0.500514377366628
0.15 0.505 0.500563843564274
0.155 0.505 0.500617052100131
0.16 0.505 0.500674157887001
0.165 0.505 0.500735297920387
0.17 0.505 0.500800586154892
0.175 0.505 0.500870108045337
0.18 0.505 0.500943914889911
0.185 0.505 0.501022018156389
0.19 0.505 0.501104384015522
0.195 0.505 0.501190928344178
0.2 0.505 0.5012815124899
0.205 0.505 0.50137594010322
0.21 0.505 0.501473955339184
0.215 0.505 0.501575242701252
0.22 0.505 0.501679428746427
0.225 0.505 0.501786085790465
0.23 0.505 0.501894737649421
0.235 0.505 0.502004867334954
0.24 0.505 0.502115926495246
0.245 0.505 0.502227346272384
0.25 0.505 0.502338549142831
0.255 0.505 0.502448961231405
0.26 0.505 0.502558024549606
0.265 0.505 0.502665208611018
0.27 0.505 0.502770020919805
0.275 0.505 0.502872015908316
0.28 0.505 0.502970802007989
0.285 0.505 0.503066046662416
0.29 0.505 0.503157479220562
0.295 0.505 0.503244891769729
0.3 0.505 0.503328138072446
0.305 0.505 0.50340713085228
0.31 0.505 0.503481837727419
0.315 0.505 0.503552276117485
0.32 0.505 0.503618507451055
0.325 0.505 0.503680630982961
0.33 0.505 0.503738777497067
0.335 0.505 0.503793103127107
0.34 0.505 0.503843783480673
0.345 0.505 0.503891008203543
0.35 0.505 0.503934976076642
0.355 0.505 0.50397589069808
0.36 0.505 0.504013956769341
0.365 0.505 0.5040493769779
0.37 0.505 0.504082349448574
0.375 0.505 0.504113065721811
0.38 0.505 0.504141709208306
0.385 0.505 0.504168454064818
0.39 0.505 0.504193464434873
0.395 0.505 0.504216893999414
0.4 0.505 0.504238885785561
0.405 0.505 0.504259572185911
0.41 0.505 0.504279075145663
0.415 0.505 0.504297506480017
0.42 0.505 0.504314968289344
0.425 0.505 0.504331553444504
0.43 0.505 0.504347346119175
0.435 0.505 0.50436242235011
0.44 0.505 0.504376850609858
0.445 0.505 0.504390692379596
0.45 0.505 0.504404002712455
0.455 0.505 0.50441683077998
0.46 0.505 0.50442922039628
0.465 0.505 0.504441210516045
0.47 0.505 0.50445283570384
0.475 0.505 0.504464126573207
0.48 0.505 0.504475110194874
0.485 0.505 0.504485810474083
0.49 0.505 0.504496248497516
0.495 0.505 0.504506442850714
0.5 0.505 0.504516409907148
0.005 0.51 0.500003765564052
0.01 0.51 0.500008324937309
0.015 0.51 0.500013818387101
0.02 0.51 0.500020409767528
0.025 0.51 0.500028290332215
0.03 0.51 0.500037683104888
0.035 0.51 0.500048847863776
0.04 0.51 0.500062086789904
0.045 0.51 0.500077750816818
0.05 0.51 0.500096246697337
0.055 0.51 0.500118044767689
0.06 0.51 0.500143687336219
0.065 0.51 0.500173797546803
0.07 0.51 0.500209088459265
0.075 0.51 0.500250371942985
0.08 0.51 0.500298566787971
0.085 0.51 0.500354705194308
0.09 0.51 0.500419936504417
0.095 0.51 0.500495526699632
0.1 0.51 0.500582851813438
0.105 0.51 0.500683383059103
0.11 0.51 0.500798661198313
0.115 0.51 0.500930257593302
0.12 0.51 0.501079719626509
0.125 0.51 0.501248498903827
0.13 0.51 0.501437862043019
0.135 0.51 0.501648785998756
0.14 0.51 0.501881842774284
0.145 0.51 0.502137081789264
0.15 0.51 0.502413921606523
0.155 0.51 0.502711065377561
0.16 0.51 0.503026455286049
0.165 0.51 0.503357279564458
0.17 0.51 0.503700040869294
0.175 0.51 0.504050687216676
0.18 0.51 0.504404797493865
0.185 0.51 0.504757804686121
0.19 0.51 0.505105233509917
0.195 0.51 0.505442926760252
0.2 0.51 0.505767236945272
0.205 0.51 0.50607516603054
0.21 0.51 0.506364444697495
0.215 0.51 0.506633551392168
0.22 0.51 0.506881678808469
0.225 0.51 0.50710866022137
0.23 0.51 0.507314869991035
0.235 0.51 0.507501112005711
0.24 0.51 0.507668507602179
0.245 0.51 0.507818391455375
0.25 0.51 0.507952220782853
0.255 0.51 0.508071500446991
0.26 0.51 0.508177724399207
0.265 0.51 0.50827233244672
0.27 0.51 0.508356680463652
0.275 0.51 0.508432021786621
0.28 0.51 0.508499497490127
0.285 0.51 0.508560133403535
0.29 0.51 0.508614842010086
0.295 0.51 0.508664427688698
0.3 0.51 0.508709594075791
0.305 0.51 0.508750952611244
0.31 0.51 0.508789031577794
0.315 0.51 0.508824285143777
0.32 0.51 0.508857102077584
0.325 0.51 0.50888781392338
0.33 0.51 0.50891670251782
0.335 0.51 0.508944006792487
0.34 0.51 0.508969928852184
0.345 0.51 0.508994639349607
0.35 0.51 0.509018282196206
0.355 0.51 0.509040978660166
0.36 0.51 0.509062830907826
0.365 0.51 0.509083925046292
0.37 0.51 0.509104333723724
0.375 0.51 0.50912411834089
0.38 0.51 0.509143330923708
0.385 0.51 0.509162015702049
0.39 0.51 0.509180210435598
0.395 0.51 0.509197947523044
0.4 0.51 0.50921525492661
0.405 0.51 0.509232156939937
0.41 0.51 0.509248674823695
0.415 0.51 0.509264827329968
0.42 0.51 0.50928063113352
0.425 0.51 0.509296101185422
0.43 0.51 0.509311251002204
0.435 0.51 0.509326092901697
0.44 0.51 0.509340638194966
0.445 0.51 0.509354897342222
0.45 0.51 0.50936888007931
0.455 0.51 0.509382595520258
0.46 0.51 0.509396052240414
0.465 0.51 0.509409258343923
0.47 0.51 0.509422221518594
0.475 0.51 0.509434949080672
0.48 0.51 0.509447448011538
0.485 0.51 0.509459724987978
0.49 0.51 0.509471786407345
0.495 0.51 0.509483638408671
0.5 0.51 0.509495286890556
0.005 0.515 0.500003972024757
0.01 0.515 0.500009214873995
0.015 0.515 0.50001606105785
0.02 0.515 0.500024924851823
0.025 0.515 0.500036321605351
0.03 0.515 0.500050891265475
0.035 0.515 0.500069426830104
0.04 0.515 0.500092908438047
0.045 0.515 0.50012254369802
0.05 0.515 0.500159814588539
0.055 0.515 0.500206530726016
0.06 0.515 0.500264887862056
0.065 0.515 0.500337528954481
0.07 0.515 0.500427602850917
0.075 0.515 0.500538812326561
0.08 0.515 0.500675438820532
0.085 0.515 0.500842325865503
0.09 0.515 0.501044797566212
0.095 0.515 0.501288484069637
0.1 0.515 0.501579025458313
0.105 0.515 0.50192163272746
0.11 0.515 0.502320503728773
