"k" "w" "z"
0.0025 0.00125 0.000194512762341274
0.0025 0.0025 7.88367980118165e-05
0.0025 0.00375 3.52610155704443e-05
0.0025 0.005 1.77887127567872e-05
0.0025 0.00625 1.02063025796333e-05
0.0025 0.0075 6.59310976053272e-06
0.0025 0.00875 4.68858357910722e-06
0.0025 0.01 3.58112620989995e-06
0.0025 0.01125 2.87865850289823e-06
0.0025 0.0125 2.39997301427086e-06
0.0025 0.01375 2.05477204857747e-06
0.0025 0.015 1.79461453355093e-06
0.0025 0.01625 1.59168342922209e-06
0.0025 0.0175 1.42901829441825e-06
0.0025 0.01875 1.29573495486305e-06
0.0025 0.02 1.18454121766862e-06
0.0025 0.02125 1.09037177640957e-06
0.0025 0.0225 1.00959950075332e-06
0.0025 0.02375 9.39559137212317e-07
0.0025 0.025 8.78248364789235e-07
0.0025 0.02625 8.24133768463009e-07
0.0025 0.0275 7.76021175767539e-07
0.0025 0.02875 7.32966760780106e-07
0.0025 0.03 6.94214708522029e-07
0.0025 0.03125 6.59152621217736e-07
0.0025 0.0325 6.27279042119223e-07
0.0025 0.03375 5.98179421855787e-07
0.0025 0.035 5.71508073140982e-07
0.0025 0.03625 5.46974442472704e-07
0.0025 0.0375 5.24332540140919e-07
0.0025 0.03875 5.03372712152286e-07
0.0025 0.04 4.8391517026793e-07
0.0025 0.04125 4.6580485695496e-07
0.0025 0.0425 4.48907334603852e-07
0.0025 0.04375 4.33105468324034e-07
0.0025 0.045 4.18296729157236e-07
0.0025 0.04625 4.04390986424546e-07
0.0025 0.0475 3.91308688740707e-07
0.0025 0.04875 3.7897935614023e-07
0.0025 0.05 3.67340322956153e-07
0.0025 0.05125 3.56335684114574e-07
0.0025 0.0525 3.45915407452676e-07
0.0025 0.05375 3.36034582322472e-07
0.0025 0.055 3.26652780678088e-07
0.0025 0.05625 3.17733511479657e-07
0.0025 0.0575 3.0924375289071e-07
0.0025 0.05875 3.0115354962872e-07
0.0025 0.06 2.934356651223e-07
0.0025 0.06125 2.86065279964921e-07
0.0025 0.0625 2.79019729632183e-07
0.0025 0.06375 2.72278275624919e-07
0.0025 0.065 2.65821905171688e-07
0.0025 0.06625 2.59633155417392e-07
0.0025 0.0675 2.53695958675482e-07
0.0025 0.06875 2.47995505857202e-07
0.0025 0.07 2.42518125634754e-07
0.0025 0.07125 2.37251177263462e-07
0.0025 0.0725 2.3218295529494e-07
0.0025 0.07375 2.27302604670089e-07
0.0025 0.075 2.22600044896289e-07
0.0025 0.07625 2.18065902194766e-07
0.0025 0.0775 2.13691448657525e-07
0.0025 0.07875 2.0946854758337e-07
0.0025 0.08 2.05389604273046e-07
0.0025 0.08125 2.0144752165788e-07
0.0025 0.0825 1.97635660216946e-07
0.0025 0.08375 1.93947801706783e-07
0.0025 0.085 1.90378116287264e-07
0.0025 0.08625 1.86921132678281e-07
0.0025 0.0875 1.83571711026212e-07
0.0025 0.08875 1.80325018197377e-07
0.0025 0.09 1.77176505248956e-07
0.0025 0.09125 1.74121886856721e-07
0.0025 0.0925 1.71157122504106e-07
0.0025 0.09375 1.68278399259192e-07
0.0025 0.095 1.65482115985357e-07
0.0025 0.09625 1.62764868848314e-07
0.0025 0.0975 1.60123437996984e-07
0.0025 0.09875 1.57554775308814e-07
0.0025 0.1 1.55055993101564e-07
0.0025 0.10125 1.52624353723822e-07
0.0025 0.1025 1.50257259945444e-07
0.0025 0.10375 1.47952246077123e-07
0.0025 0.105 1.45706969755356e-07
0.0025 0.10625 1.43519204335342e-07
0.0025 0.1075 1.41386831840002e-07
0.0025 0.10875 1.39307836418215e-07
0.0025 0.11 1.37280298269919e-07
0.0025 0.11125 1.35302387999645e-07
0.0025 0.1125 1.33372361363641e-07
0.0025 0.11375 1.31488554378953e-07
0.0025 0.115 1.29649378765701e-07
0.0025 0.11625 1.27853317696358e-07
0.0025 0.1175 1.26098921828183e-07
0.0025 0.11875 1.2438480559703e-07
0.0025 0.12 1.22709643752692e-07
0.0025 0.12125 1.21072168117586e-07
0.0025 0.1225 1.19471164552172e-07
0.0025 0.12375 1.17905470111896e-07
0.0025 0.125 1.16373970381681e-07
0.0025 0.12625 1.14875596975191e-07
0.0025 0.1275 1.13409325187076e-07
0.0025 0.12875 1.1197417178742e-07
0.0025 0.13 1.10569192948431e-07
0.0025 0.13125 1.09193482294205e-07
0.0025 0.1325 1.07846169065148e-07
0.0025 0.13375 1.0652641638925e-07
0.0025 0.135 1.05233419653034e-07
0.0025 0.13625 1.03966404965532e-07
0.0025 0.1375 1.02724627709162e-07
0.0025 0.13875 1.01507371171804e-07
0.0025 0.14 1.0031394525485e-07
0.0025 0.14125 9.91436852523065e-08
0.0025 0.1425 9.79959506964732e-08
0.0025 0.14375 9.68701242659784e-08
0.0025 0.145 9.57656107522808e-08
0.0025 0.14625 9.46818360810269e-08
0.0025 0.1475 9.3618246384883e-08
0.0025 0.14875 9.25743071247255e-08
0.0025 0.15 9.15495022562625e-08
0.0025 0.15125 9.05433334393773e-08
0.0025 0.1525 8.95553192876529e-08
0.0025 0.15375 8.8584994655729e-08
0.0025 0.155 8.76319099622643e-08
0.0025 0.15625 8.6695630546476e-08
0.0025 0.1575 8.57757360562957e-08
0.0025 0.15875 8.48718198663747e-08
0.0025 0.16 8.39834885242331e-08
0.0025 0.16125 8.31103612229914e-08
0.0025 0.1625 8.22520692991994e-08
0.0025 0.16375 8.14082557543823e-08
0.0025 0.165 8.05785747990132e-08
0.0025 0.16625 7.97626914176875e-08
0.0025 0.1675 7.89602809543624e-08
0.0025 0.16875 7.8171028716592e-08
0.0025 0.17 7.73946295977406e-08
0.0025 0.17125 7.66307877162504e-08
0.0025 0.1725 7.58792160710423e-08
0.0025 0.17375 7.51396362122431e-08
